SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,NumberOfDependents,TotalLate,TotalCreditLines,MonthlyIncome_log
0,0.186868556,57,0.313812313,0.0,0,11,8.853808274977197
0,0.693329681,42,0.257731959,0.0,2,7,7.7102051944325325
0,0.0,64,0.073538769,0.0,0,10,9.305741456739435
0,0.881836362,50,0.567858035,1.0,3,10,8.294299608857235
0,0.9999999,75,0.134078212,1.0,1,2,8.131824785007195
0,0.363636364,26,0.00999001,0.0,0,1,6.90875477931522
0,0.304490668,52,0.808340474,0.0,0,12,8.160803920954665
0,0.71998531,41,0.539554464,0.0,1,15,8.648396877031582
0,0.07289757,81,75.0,0.0,0,7,8.594339400592892
0,0.469056842,31,0.048211004,1.0,0,4,9.132486932771318
0,0.718705378,28,0.170125614,1.0,0,4,8.205764725234456
0,0.000602723,70,0.177787036,2.0,0,13,9.729193687429403
0,0.061440132,62,0.011167837,0.0,0,2,8.050065422915965
0,0.140110634,31,0.689370485,0.0,0,6,7.569411792450712
0,0.834048027,38,0.393662026,2.0,0,15,9.472781556562168
0,7.96e-05,70,0.256339661,0.0,1,22,8.839421607620602
1,0.728150491,31,0.824725092,1.0,0,12,8.006700845440367
0,0.9999999,62,0.0,0.0,0,1,8.594339400592892
0,0.028562367,51,0.306381499,0.0,0,6,8.657129031713755
0,0.992015968,29,0.008064516,0.0,0,1,7.710653323501202
0,0.070853769,55,0.073147745,0.0,0,5,9.531988993991236
0,0.454971915,46,0.016921775,1.0,1,10,9.472781556562168
0,0.401199782,64,0.351258937,0.0,0,5,8.076204527239026
0,0.655569945,35,0.261609907,2.0,0,10,8.668024081118821
0,0.651603452,58,0.241135663,0.0,0,12,8.959825623865841
0,0.027399502,69,0.00803428,0.0,0,3,8.630700432209832
0,0.009788862,46,1.051397656,2.0,0,8,8.109826276018477
0,0.337520702,60,0.549877805,0.0,0,12,8.412054873292933
0,0.0,67,0.540983607,0.0,0,3,8.221747728346623
0,0.750873672,55,0.316416365,1.0,2,18,8.952087643548404
0,0.006799093,27,0.681045752,0.0,1,3,6.639875833826536
0,0.004264079,31,0.111444278,2.0,1,6,7.601402334583733
0,0.26948375,64,0.16106176,3.0,0,14,9.15440473964588
0,0.265898391,36,0.262611807,1.0,0,8,9.034199674257309
0,0.827708197,56,0.369590815,0.0,1,16,8.82379514872053
1,0.13306279,49,0.182881653,3.0,1,11,9.235813167949214
0,0.234218112,36,0.116614347,3.0,0,19,9.059633754551479
0,0.122295933,29,0.694646949,0.0,0,6,8.476579508530941
0,0.460376317,37,0.074155949,0.0,0,6,8.512381634419015
0,0.335558577,69,0.270448637,1.0,0,16,9.61587214452889
0,0.270522569,41,2.797698945,2.0,0,13,6.949856455000773
0,0.183316667,52,0.111131623,1.0,0,16,9.290444616217844
0,0.074861676,66,0.208842479,0.0,0,4,8.412054873292933
0,0.017258977,53,2.604510673,2.0,0,14,9.426660697942268
0,0.054497069,56,0.492021814,0.0,0,20,8.507344855361422
0,0.029164236,31,0.395031809,0.0,0,11,8.101980731853192
0,0.0,58,0.316144874,1.0,0,10,8.494333897270154
0,0.003749688,64,0.004061231,0.0,1,5,8.071218539969863
1,0.734477501,45,0.591477634,2.0,0,15,8.458928283284262
0,0.080564168,60,0.487288997,0.0,0,17,8.50045386741194
0,0.023767433,83,0.123797734,0.0,0,13,9.259225769705994
0,0.888822236,34,0.368403802,1.0,0,4,8.02322468471667
0,0.791173628,44,0.51241535,0.0,0,6,8.03947991910045
0,0.24535301,37,0.288417167,0.0,2,12,8.77971129020447
0,0.542242704,48,10.0,0.0,2,2,8.594339400592892
0,0.010531379,57,0.280664917,0.0,0,7,8.65084957622891
0,0.363199686,32,0.480523957,0.0,0,5,7.972810784121404
0,0.032617977,75,0.006799093,0.0,0,4,8.922791623969637
0,0.013024674,61,15.0,0.0,0,4,8.594339400592892
0,0.019387779,34,0.32591852,0.0,0,10,8.294299608857235
0,0.634485057,52,0.138238573,0.0,0,2,7.897668150726906
0,0.888008615,44,0.299246282,1.0,0,8,8.498825534058053
0,0.003108849,57,0.258939285,0.0,0,8,9.0280988119824
0,0.114830941,46,0.026235802,3.0,0,6,8.740496729931813
0,0.018886792,80,0.003478779,0.0,0,5,9.21642184229205
0,0.635415157,32,0.519493502,1.0,0,5,8.006700845440367
0,0.9999999,62,0.664221287,0.0,0,11,9.025816391627028
0,0.096737158,47,0.009748781,2.0,0,2,8.987321812850125
0,0.31844615,58,1.382629108,0.0,0,30,8.251663923605589
0,0.186987534,52,0.023993145,0.0,0,4,8.160803920954665
0,0.006541851,68,0.108089191,1.0,0,12,9.210440366976517
0,0.180972181,39,0.384441575,3.0,1,8,8.038512020976814
0,0.00750765,74,7.0,0.0,0,4,8.594339400592892
0,0.06790706,46,0.149103029,0.0,0,8,9.23024103368252
0,0.033461782,44,1.243362832,1.0,0,7,8.31090675716845
0,0.007520592,68,269.0,0.0,0,4,8.594339400592892
0,0.015271802,68,0.12290366,0.0,0,6,9.00810178134187
0,0.51712072,31,0.123752495,0.0,0,3,6.2166061010848646
0,0.317975796,34,0.297933792,0.0,0,13,8.412054873292933
0,0.297594642,67,0.239507959,0.0,0,13,8.329899292995725
0,0.444837661,58,0.366545247,4.0,1,11,9.546884034617925
0,0.003722015,58,0.63332301,0.0,0,6,8.079927770758275
0,0.0,61,0.2226598,0.0,0,15,8.101980731853192
0,0.0,59,0.218854341,0.0,0,15,9.860997500915175
0,0.151912549,36,0.266394467,0.0,0,24,9.392745258631441
0,0.0,59,0.351699622,0.0,0,13,8.412054873292933
0,0.175727593,43,994.0,0.0,1,5,8.594339400592892
0,0.011498563,77,0.001998002,0.0,0,1,6.90875477931522
0,0.0,48,0.517468688,0.0,0,9,8.423102268016642
0,0.163037489,81,0.086482558,1.0,0,7,7.920083199053234
0,0.047311582,51,0.100920343,0.0,0,5,8.055475141757274
0,0.083880003,53,0.199647533,0.0,0,9,8.980172205725008
0,0.089478348,56,1.065901518,2.0,0,12,7.901377353792616
0,0.773519223,63,1.129227053,1.0,0,13,8.32845106681936
0,0.093962275,55,0.112051635,0.0,0,8,9.153875834995056
0,0.21955042,54,0.315983758,1.0,0,22,8.59748202264504
0,0.147996253,55,0.323088235,0.0,0,6,8.824677891164198
0,0.243872021,53,0.534027778,3.0,0,24,9.064157861798101
0,0.362483818,27,567.0,0.0,0,4,8.594339400592892
0,0.116676791,31,0.343593791,0.0,0,8,8.24301946898925
0,0.9999999,38,0.43369976,4.0,0,8,8.669399124305569
0,0.496911825,40,0.452363811,2.0,0,13,9.433563920090563
0,0.130902106,48,0.427882174,0.0,1,18,8.278428259199071
0,0.54699881,50,0.748071979,3.0,0,11,8.160803920954665
0,0.072277109,34,0.025911708,0.0,0,2,7.642044402873258
0,0.0,48,0.370876375,5.0,2,15,8.006700845440367
0,0.175932019,57,0.655812625,1.0,1,10,8.160803920954665
0,0.050789842,30,0.315171207,1.0,0,5,8.294299608857235
0,0.0,28,0.144616356,0.0,0,7,8.06054004653864
0,0.21286031,36,0.563752087,1.0,0,12,9.16785032035523
0,0.012682366,60,0.412979783,0.0,0,22,8.828494129466652
0,0.121557062,58,0.342971419,4.0,0,25,9.392745258631441
0,0.040795358,49,0.801999355,0.0,0,12,8.03947991910045
0,0.147712223,40,0.034847816,3.0,0,6,8.824824939175638
0,0.0,63,2.0,0.0,0,4,8.594339400592892
0,0.0,50,0.726566993,1.0,1,6,8.154212694914229
1,1.046279103,47,1.104301274,1.0,1,8,8.597297435657898
0,0.323719804,63,0.610841267,2.0,0,11,8.546169299652755
0,0.36459777,42,0.593899089,0.0,0,10,8.841737428600585
0,0.637736406,54,3.382196162,0.0,2,11,7.53689712956617
0,0.020966389,29,639.5,2.0,0,4,0.6931471805599453
0,0.170103002,36,0.138461538,0.0,0,8,8.953510763007166
0,0.771845631,33,0.852429514,0.0,0,10,8.517393171418904
0,0.05538241,72,0.089091313,0.0,0,4,8.412054873292933
0,0.9999999,29,974.0,0.0,0,2,8.594339400592892
0,0.16653274,53,0.543625949,3.0,0,14,8.923591197573002
0,0.008632035,79,0.365151154,0.0,0,10,8.343077871169383
0,0.13527952,58,0.342005076,2.0,0,13,9.15440473964588
0,0.167571389,69,0.330733853,1.0,0,11,8.517393171418904
0,0.9999999,69,0.005319149,3.0,1,0,7.721348612617949
0,0.068335151,75,0.010927876,0.0,0,9,9.216918687336305
0,0.0,41,0.907538526,0.0,0,7,7.783640596221253
0,0.405183973,46,0.667835346,1.0,0,24,8.94910546953925
0,0.676195456,55,0.436665827,0.0,1,11,8.286773231131251
1,0.085338293,51,0.477503628,0.0,0,12,8.732465848349879
1,0.0,25,0.152896812,0.0,1,3,7.978310969867722
1,0.786485406,44,0.291709578,1.0,4,7,8.264620829411216
0,0.0112096,86,13.0,0.0,0,3,8.594339400592892
0,0.03833451,56,0.438912218,0.0,0,9,8.517393171418904
0,0.714980139,55,0.47090194,3.0,0,14,9.61587214452889
0,0.043032042,64,0.332016389,0.0,0,16,8.829665432675236
0,1.095083357,53,0.536703799,0.0,8,8,8.160803920954665
0,0.9999999,55,0.156259612,4.0,0,5,8.086717920303906
0,0.101430135,80,0.016196761,0.0,1,9,8.517393171418904
1,0.025892469,38,74.5,2.0,0,13,0.6931471805599453
0,0.762158561,44,0.224465502,3.0,4,6,9.952325334619427
0,0.231692268,40,0.119660709,0.0,0,7,8.101980731853192
0,0.114869499,35,103.0,0.0,0,6,8.594339400592892
0,0.035489848,69,0.308438695,0.0,0,10,8.131824785007195
0,0.045423864,64,0.181311286,0.0,0,5,8.556606193773073
0,0.311954668,61,0.269281443,2.0,0,14,9.196951134857168
0,0.078738916,46,0.166215372,4.0,0,7,8.476579508530941
0,0.137609462,49,0.429533892,0.0,0,13,8.89192414015454
0,0.030173038,64,0.17386957,0.0,0,9,9.105090961257085
0,0.021978375,40,0.443755624,2.0,0,17,9.210440366976517
0,0.443696851,27,0.024340075,0.0,0,4,8.671458150427666
0,0.046640328,92,0.034326669,0.0,1,13,7.8826922062890254
0,0.292365949,50,0.420180551,0.0,0,10,9.076923258535832
0,0.9999999,66,0.358101135,0.0,2,4,7.569411792450712
0,0.013500824,53,0.183464028,2.0,0,9,9.852246888342531
0,0.9999999,62,0.04965839,0.0,0,1,8.699681400989514
0,0.028113957,61,0.031349387,0.0,0,12,7.696667081526462
0,0.222696207,42,800.0,2.0,0,4,0.6931471805599453
0,0.593985244,63,0.332698534,0.0,0,6,8.566173813637858
0,0.017508178,73,0.135589153,0.0,1,13,8.334951631422454
0,0.611865678,72,0.04578345,0.0,0,4,8.936035096566041
0,0.333060631,52,0.700153374,0.0,4,17,8.559486103606488
0,0.009025178,45,0.376836435,2.0,0,5,9.007979359844501
0,0.260271523,44,0.296854804,0.0,0,12,8.848365694942547
0,0.455950788,63,0.701766078,0.0,1,21,8.699848026000312
0,0.080288098,37,0.322446259,0.0,0,8,8.699681400989514
1,1.953488372,38,0.153500141,2.0,0,5,8.176672771948455
0,0.181557324,36,0.56071964,1.0,0,8,7.601402334583733
0,0.147123525,41,0.436025621,2.0,0,6,8.764209507142004
0,0.025601772,63,0.262773723,0.0,1,9,9.210440366976517
0,0.0,76,0.002465931,0.0,0,3,8.949624747754216
0,0.196372799,43,0.537485582,0.0,0,11,7.8636512654486515
0,0.083945242,64,0.588073078,0.0,0,7,7.972810784121404
0,0.034833091,67,0.460246187,0.0,0,11,9.466299552232016
0,0.787522133,52,0.353860086,1.0,0,12,8.393216011596527
0,0.125429152,55,0.476704659,0.0,0,5,8.517393171418904
0,0.06037487,42,0.578676723,2.0,0,19,8.671458150427666
0,0.9999999,28,0.0,0.0,0,0,8.594339400592892
0,0.295928252,47,0.283765445,1.0,0,8,9.546884034617925
1,0.973339258,61,0.209961825,1.0,2,11,8.612685172875459
0,0.002856735,73,0.000285687,0.0,0,10,9.259225769705994
0,0.9999999,68,0.040493251,0.0,0,0,8.699681400989514
0,0.053431552,41,0.20364404,0.0,0,4,9.105090961257085
0,0.732660667,44,0.14041952,0.0,2,16,9.127067452782361
0,0.084220458,42,0.458551158,4.0,0,28,8.809116258125274
0,0.114561798,40,0.359964004,2.0,0,22,9.210440366976517
0,0.012151003,78,0.008886914,0.0,0,12,8.412054873292933
0,0.081310737,81,0.165566887,0.0,0,4,8.111928063310739
0,0.09811305,49,0.257017809,0.0,0,11,8.798756582859841
1,1.048210842,58,0.151956584,0.0,7,12,8.160803920954665
0,0.011883886,54,0.092913547,2.0,0,9,9.18512512283512
0,0.75264947,33,0.058322869,0.0,1,6,8.877242435993919
0,0.112321289,53,0.266909775,5.0,0,10,9.04793908261736
0,0.0,23,0.0,0.0,0,1,7.453561871643373
0,0.634327056,49,0.123125125,1.0,1,7,9.61587214452889
0,0.15576324,44,0.278077082,2.0,0,5,8.481773246184977
0,0.0,63,0.007988922,0.0,0,9,9.147187556970914
0,0.090614887,42,86.0,0.0,0,5,8.594339400592892
0,0.034645112,65,0.125189985,1.0,0,5,9.433563920090563
0,0.412398622,28,0.037259615,0.0,0,5,8.515591910049263
0,0.024670782,78,392.0,0.0,0,7,8.594339400592892
0,0.046710961,66,1.117952819,0.0,0,13,7.824445930877619
0,0.976531824,32,0.264078812,2.0,0,6,8.824824939175638
0,0.007982621,43,0.009691169,1.0,1,12,12.246897840045309
0,0.267541336,59,0.637607437,1.0,0,15,8.648396877031582
0,0.019779326,76,0.267149259,0.0,0,9,7.972810784121404
0,0.010402205,68,0.094140517,0.0,0,7,8.188966863648876
0,0.9999999,61,0.529548989,0.0,0,4,7.1592919047975645
0,0.029816467,68,0.175139978,1.0,0,13,8.4040244933106
0,0.181713732,57,0.130453416,1.0,0,18,9.364519622823858
0,0.051368557,68,0.445277361,2.0,0,11,8.448700194970938
0,0.29264536,57,0.205927884,3.0,0,13,10.184333813978627
1,0.220823719,46,0.637749121,0.0,1,5,7.441906728051625
0,0.008099838,69,0.389895596,0.0,0,4,9.027978814382207
0,0.0,44,0.326383681,1.0,0,6,8.80492526261806
0,0.006099797,28,0.139429485,0.0,0,8,8.229777750081887
0,0.909538698,53,0.595653913,1.0,1,17,8.922791623969637
0,0.941072508,40,0.178184282,0.0,0,10,9.088850474388472
0,0.991667222,36,0.554878049,1.0,1,12,8.59637398929068
0,0.691488418,42,0.272721679,1.0,0,12,9.69590972432601
0,0.112855258,64,0.307576329,0.0,0,7,7.88344635413774
0,0.048244493,62,0.262879153,1.0,0,12,9.718121365555948
0,0.9999999,47,0.092163472,0.0,3,2,9.158415299111264
0,0.9999999,62,0.0,0.0,0,3,8.609042845046117
0,0.074256375,49,0.347930414,3.0,0,13,8.517393171418904
0,0.144878408,66,0.28446242,0.0,0,10,9.093918908958932
0,0.191001932,54,0.705627706,2.0,0,12,8.53346016388011
0,0.219382879,56,942.0,1.0,1,10,8.594339400592892
0,0.679813777,83,0.689589756,0.0,0,8,8.34687925374656
0,0.371875401,29,0.53628857,3.0,0,10,7.741099090035366
0,0.025856408,67,0.083799311,0.0,0,14,9.47692648113323
0,0.547887778,29,0.24651504,0.0,2,5,7.9105906122564775
0,0.271668778,46,0.282830201,4.0,1,16,9.6678285081515
0,0.897203427,68,0.787803049,0.0,0,10,8.294299608857235
0,0.25889775,33,0.537441339,1.0,0,4,8.497194544909547
0,0.0,55,0.03988553,0.0,1,8,8.628913441026645
0,0.035940506,46,0.271186441,3.0,0,11,8.80492526261806
0,0.9999999,66,0.046633911,1.0,0,2,9.358846580275406
0,0.465238835,66,0.391427671,0.0,1,9,8.062432791583195
0,0.865423051,48,0.075848303,0.0,0,1,6.2166061010848646
0,0.696411671,52,0.408871921,4.0,0,12,9.305741456739435
0,0.544497658,32,0.166766647,0.0,2,5,8.805075243870684
0,0.081238383,51,0.066830086,2.0,0,14,8.955577146281511
0,0.948762809,27,0.144948404,0.0,0,5,8.334951631422454
0,0.0,32,0.463610776,0.0,3,11,8.917444732471514
0,0.016598893,30,0.136575616,0.0,0,5,7.313886831633462
0,0.063329564,37,0.329935275,3.0,0,7,8.729073550451737
0,0.093638481,49,0.042836573,1.0,0,10,9.0280988119824
0,0.0,37,0.184027338,5.0,0,6,8.974744612722734
0,0.730271957,36,0.632794037,0.0,1,12,8.612685172875459
0,0.426371142,62,0.406053995,0.0,1,16,8.207129168071326
0,0.948978489,57,0.043744532,1.0,0,3,8.987321812850125
0,0.0,59,0.0,1.0,0,7,8.343077871169383
0,1.00264667,38,0.472542946,4.0,4,8,8.174984532943087
0,0.0164781,92,10.0,0.0,0,3,8.594339400592892
0,0.022890604,37,0.288477299,0.0,0,17,8.716207971151853
0,0.283821988,63,0.750200803,0.0,0,9,7.126890808898808
0,0.319779462,32,1.247340213,0.0,0,20,9.433563920090563
0,0.155240525,52,0.483518065,1.0,0,17,8.846065190692881
0,0.067259209,29,0.168340507,0.0,1,3,7.645397699428633
0,0.284236153,45,0.318890815,2.0,1,10,8.922791623969637
0,0.727560021,38,0.712458746,1.0,0,7,7.793174347189205
0,0.687779097,62,0.249471161,0.0,0,15,8.866581653303996
0,0.9999999,29,0.0,0.0,0,0,8.594339400592892
0,0.033708851,41,0.408706353,2.0,0,10,8.77971129020447
0,0.0,29,0.193935355,0.0,0,7,8.006700845440367
1,0.03719769,47,0.03975841,3.0,0,12,10.12667110305036
0,0.0,55,0.388320836,1.0,1,6,8.38958706681109
0,0.053589282,87,0.001534331,0.0,0,4,8.559102594493448
0,0.100773109,41,0.199761673,0.0,0,8,9.130322663990151
0,0.0,61,1.394967177,0.0,0,13,6.81783057145415
0,0.399946674,28,0.189702574,1.0,0,6,8.294299608857235
0,0.052653171,43,0.572292191,4.0,0,9,7.59337419312129
0,0.072318616,71,0.426412462,1.0,0,10,8.366602832783736
0,0.203959597,46,0.072914726,2.0,0,7,9.686636660844938
0,0.9999999,30,0.090341011,0.0,0,1,8.630700432209832
1,0.880370887,43,0.461323764,1.0,0,7,8.925853190420922
0,0.429246267,59,0.381254316,1.0,0,18,9.675896626294639
0,0.0,47,773.0,1.0,0,3,8.594339400592892
0,0.049529205,61,542.0,0.0,0,15,8.594339400592892
0,0.360907571,72,0.356679286,0.0,0,7,8.21554741194707
0,0.335737457,50,0.45722203,1.0,0,10,8.661120360222881
1,0.635720859,68,0.218071277,0.0,1,30,10.12667110305036
0,0.507972665,69,0.193935355,0.0,6,10,8.006700845440367
0,0.245841666,71,151.0,0.0,0,5,8.594339400592892
0,0.9999999,37,0.184625639,1.0,0,2,8.412054873292933
0,0.630073985,38,0.563328034,0.0,0,4,7.54274354536855
0,0.028423247,59,0.033982276,0.0,0,13,9.570180302058072
0,0.143427862,67,0.119463561,0.0,0,9,8.64241515616962
0,0.186682782,30,0.698120752,2.0,0,9,7.824445930877619
0,0.496388581,56,0.170164956,1.0,0,13,9.882314987303326
0,0.457526639,51,0.333583302,2.0,0,18,8.987321812850125
0,0.947264856,28,0.467171717,0.0,0,4,7.080026499922591
0,0.013916922,54,0.017655818,2.0,0,7,8.45553053102413
0,1.047495906,35,0.314566116,3.0,3,10,8.261526448396468
0,0.012586354,79,0.009596162,0.0,0,11,7.824445930877619
0,0.543445655,46,0.267146571,3.0,0,8,8.517393171418904
0,0.082317351,64,0.214426305,1.0,0,30,9.063810579280286
0,0.292541492,74,0.164917541,0.0,0,3,7.601402334583733
0,0.024240472,64,0.101514142,0.0,0,21,9.259225769705994
0,0.047650102,63,0.387956894,0.0,0,8,9.105090961257085
1,0.739146488,63,0.285156885,1.0,1,12,8.724369949208368
0,0.186890655,54,0.655589124,1.0,0,8,8.200013648175434
0,0.007501937,63,0.278226307,3.0,0,15,8.993551586299981
0,0.522314625,45,0.290229092,3.0,0,14,9.581352052014967
0,0.9999999,22,130.0,0.0,0,0,8.594339400592892
0,0.571604587,66,870.0,0.0,0,12,8.594339400592892
0,0.903231566,57,0.13080895,0.0,0,10,8.56197533418813
0,0.017043518,43,0.10821382,1.0,0,6,7.741099090035366
0,0.060733396,61,0.008549573,0.0,0,8,9.90353755128617
0,0.003894686,90,876.0,0.0,0,12,8.594339400592892
0,0.250008365,60,2.086478612,0.0,0,26,8.929435283803425
0,0.466334165,34,0.007495315,0.0,2,3,8.07153089355666
0,0.114588541,38,34.0,0.0,0,2,8.594339400592892
0,0.9999999,60,0.0,0.0,0,0,8.343077871169383
0,0.267905614,76,0.285452994,0.0,0,12,9.012011377036412
0,0.029694361,76,0.070513488,2.0,0,7,9.169622538697624
0,0.305246317,39,0.188281635,2.0,0,7,9.225721474014485
0,0.000685675,83,0.0,0.0,0,4,8.594339400592892
0,0.702493864,63,0.582162622,1.0,0,10,8.454892165218858
0,0.742436041,52,0.414081023,0.0,0,12,9.179984251961283
1,0.802417179,58,668.0,0.0,2,5,8.594339400592892
0,0.9999999,42,0.113421853,2.0,5,3,8.740496729931813
0,0.134191514,63,926.5,0.0,0,10,0.6931471805599453
0,0.002556199,58,0.115826132,2.0,0,17,8.955835144218959
0,0.088845558,62,0.073772011,0.0,0,5,8.593227877692234
0,0.203947961,46,1.206516118,2.0,2,16,8.665785595466064
0,0.006666097,27,0.000268637,0.0,0,5,8.915297945118109
0,0.014049649,27,0.352214765,1.0,0,5,8.22282213081366
0,0.9999999,35,0.092985318,3.0,1,1,8.027802848370312
0,0.368866624,55,0.437996083,0.0,0,20,9.179984251961283
0,0.054553316,73,0.043259135,0.0,0,13,9.721185995542177
0,0.179487766,51,0.492529978,0.0,0,23,9.22759072538271
0,0.026885902,36,0.344879921,2.0,0,8,9.32375833901174
0,0.265705207,56,0.259102536,1.0,0,11,10.363030408174957
0,0.07083751,64,0.255290785,1.0,0,6,8.699681400989514
0,0.030996074,56,0.131430952,0.0,0,12,8.476579508530941
0,0.144914011,37,0.045366363,0.0,0,5,8.81001204797317
0,0.353017659,48,1.299736021,1.0,0,18,8.334951631422454
0,0.020074662,36,0.334245422,0.0,0,6,8.46611040118692
0,0.032769199,70,724.0,0.0,0,12,8.594339400592892
1,0.733885463,49,0.369223765,2.0,2,22,9.080914824535725
0,0.03157211,39,0.644706486,1.0,0,15,8.268988209506656
1,0.991502124,61,1.2979007,1.0,17,14,8.006700845440367
0,0.397702982,38,0.41627543,2.0,0,7,8.657129031713755
0,0.971352432,24,0.035803497,0.0,0,3,7.0909098220799835
0,0.0,73,0.386728192,0.0,0,18,8.423102268016642
0,0.9999999,79,0.130140954,0.0,0,7,8.552367266423891
0,0.003851709,81,0.000822143,1.0,0,1,8.202208436436448
0,0.010887967,55,0.725137431,0.0,0,9,7.601402334583733
0,0.686083014,57,0.16069592,2.0,1,7,9.364605330987612
0,0.212464485,58,0.518991188,1.0,0,11,8.098946748943339
0,0.006956358,52,0.003278689,0.0,0,4,7.799753318287247
0,0.073251754,51,0.446688128,2.0,0,10,9.235130540783402
0,0.431904058,63,0.41905226,0.0,1,24,9.012986392348266
0,0.006999563,97,3.0,0.0,0,2,8.594339400592892
0,0.014310431,56,13.0,0.0,0,2,8.594339400592892
0,0.026944485,41,0.686736475,0.0,0,11,8.430327258394575
0,0.297094601,43,0.603763294,2.0,1,10,8.207129168071326
0,0.0,59,862.0,0.0,0,3,8.594339400592892
0,0.922670104,40,0.207789429,0.0,0,7,9.142703723260372
0,0.051077957,74,0.306409131,0.0,0,10,8.136518252115291
0,0.319190816,49,0.358153388,0.0,0,20,9.148571345578551
0,0.008737352,68,0.209965006,0.0,0,29,8.699681400989514
0,0.0,57,0.785229953,0.0,0,11,8.822322177471738
0,0.243674266,48,0.179979778,6.0,0,11,9.093918908958932
0,0.9999999,40,0.19170579,2.0,3,3,8.251663923605589
0,0.0,23,0.0,1.0,0,1,8.160803920954665
0,0.028910707,52,0.013543599,2.0,0,7,8.592300663903043
0,0.50329934,55,0.454057468,0.0,0,7,8.06054004653864
0,0.799981673,61,0.671076012,0.0,4,22,8.530109416682784
0,0.069987933,33,0.114004783,0.0,0,7,8.232971790593437
0,0.067901335,69,0.065493451,0.0,0,6,9.210440366976517
0,0.740635161,39,0.432010059,0.0,0,8,8.624611588183507
0,0.023382944,84,0.00912845,0.0,0,6,8.434028950155469
0,0.9999999,32,0.095584668,0.0,2,1,7.630946580890459
0,0.003625197,78,726.0,0.0,0,9,8.594339400592892
0,0.092287617,61,0.229436075,2.0,0,25,8.922791623969637
0,0.0,37,0.177007047,3.0,0,6,8.886962034866128
0,0.9999999,33,0.257707218,1.0,3,3,8.597297435657898
0,0.057867667,81,0.145685279,0.0,0,13,8.27893600229198
0,0.07807727,60,0.566105156,2.0,0,15,8.273336598504486
0,0.201943642,46,0.394460554,3.0,0,17,9.210440366976517
0,0.077958915,57,0.053530226,0.0,0,19,8.77971129020447
0,0.205676486,57,0.130309575,0.0,0,9,9.0280988119824
1,0.9999999,32,0.006731051,3.0,0,1,8.136518252115291
1,0.57985084,42,0.594224361,0.0,0,8,7.901377353792616
0,0.073393457,38,0.384761524,0.0,1,11,9.210440366976517
0,0.079178219,82,0.176964607,0.0,0,4,8.517393171418904
0,0.073123172,33,0.216405216,0.0,0,9,8.57376254290413
0,0.745173448,68,0.168767792,0.0,0,5,8.500657222776137
0,0.10088331,52,0.280494456,2.0,2,7,8.612685172875459
0,0.347665233,46,0.041583367,1.0,0,1,7.824445930877619
0,0.102031508,66,90.0,0.0,0,4,8.594339400592892
0,0.354125994,57,0.558762411,0.0,0,5,8.373553741214627
0,0.029643294,50,0.399106478,0.0,3,19,9.148571345578551
0,0.540204354,34,0.034395414,0.0,1,3,8.922791623969637
0,0.640927271,53,0.52409692,3.0,4,19,9.329633378164166
0,0.058271403,76,0.374304267,0.0,0,8,8.369157112588834
0,0.719305764,64,0.186225718,0.0,0,6,8.736971085254146
0,0.045017363,72,0.020763907,0.0,0,8,8.268988209506656
